date,open,high,low,close
1384632600,4429.86,4430,4315,4315
1384632900,4349.97,4349.99,4220,4280.03
1384633200,4280.03,4475,4249.97,4429
1384633500,4429,4429,4295.98,4350.46
1384633800,4350.46,4376,4260.1,4299.94
1384634100,4299.91,4309.99,4262,4276.03
1384634400,4277.44,4429,4272,4400
1384634700,4405,4429,4350,4380
1384635000,4376.23,4384,4304,4350.97
1384635300,4350.23,4350.23,4303.57,4317
1384635600,4336.94,4350,4306,4335.97
1384635900,4335.97,4400,4335.97,4391.96
1384636200,4391.95,4393.25,4370,4381.5
1384636500,4381.5,4391,4332,4385
1384636800,4370,4385,4366,4366
1384637100,4374.91,4374.97,4350,4350.03
1384637400,4352,4363,4322,4350
1384637700,4350,4362,4320,4350
1384638000,4359.93,4363,4350.06,4352.31
1384638300,4353,4357.82,4331,4340
1384638600,4340.03,4350,4335,4342
1384638900,4342.06,4359,4340,4342
1384639200,4342,4356.98,4321,4321
1384639500,4322,4340.89,4320,4340.89
1384639800,4340.89,4341.09,4321.15,4335
1384640100,4332.96,4340,4320,4323
1384640400,4322.89,4322.89,4278.96,4279
1384640700,4279,4280,4250,4250
1384641000,4260.03,4279.99,4220,4242
1384641300,4242,4242,4200.1,4217.21
1384641600,4211.62,4235,4111.53,4111.53
1384641900,4145.03,4160,4051.53,4160
1384642200,4151.25,4200,4100,4120
1384642500,4106.03,4200,4101,4180
1384642800,4180.47,4186.75,4100,4154.85
1384643100,4154,4220,4100.11,4101
1384643400,4155,4198,4100.2,4138.97
1384643700,4135.9,4140,4075,4075
1384644000,4090.25,4100,4011.53,4012
1384644300,4012,4030,3811.53,3819
1384644600,3820.03,3897.99,3675,3675.03
1384644900,3678.06,3678.75,3493.08,3500
1384645200,3510,4100,3450,3900
1384645500,3975.9,4000,3688,3688
1384645800,3688,3729.65,3550,3550
1384646100,3550,3699,3500,3698
1384646400,3673.48,3699.99,3510,3658
1384646700,3659.35,3680,3600,3650.03
1384647000,3653.65,3700,3650,3660
1384647300,3665,3682.27,3652,3678
1384647600,3678,3890,3660.2,3800
1384647900,3788.03,3850,3788,3811
1384648200,3819,3888,3811,3886
1384648500,3884,3990,3865,3979.97
1384648800,3981,4020,3900,3985
1384649100,3985,3985,3680,3700
1384649400,3710,3784.1,3685.11,3750
1384649700,3750,3818,3750,3777.8
1384650000,3775,3819,3700,3722
1384650300,3721.97,3800,3700.53,3780
1384650600,3781.17,3796.99,3738,3765
1384650900,3763,3764.94,3650.01,3656
1384651200,3656,3760,3656,3716.04
1384651500,3716.04,3820,3716,3810
1384651800,3810,3811.16,3723.01,3766.03
1384652100,3770.5,3800,3754,3785.22
1384652400,3788,3793,3776.03,3793
1384652700,3792.94,3885.99,3790.53,3882.75
1384653000,3885,3896.77,3801.01,3860
1384653300,3860,3980,3860,3980
1384653600,3951.06,3962,3901,3950
1384653900,3950.03,4200,3950,4150
1384654200,4150,4220,3900,3938
1384654500,3940,4099.99,3810,4010
1384654800,3977.5,4049,3950,4020
1384655100,4020.25,4029,4000,4000
1384655400,4001.97,4001.97,3920.01,3955.57
1384655700,3952.53,4025,3950.01,4000
1384656000,4001,4098.99,3980,4052
1384656300,4071,4120,4030.01,4100.03
1384656600,4120,4186.56,4100,4105
1384656900,4105,4180,4104,4160
1384657200,4160,4180,4121,4150
1384657500,4150,4220,4100,4214.97
1384657800,4214.97,4344,4167.07,4344
1384658100,4320,4376,4100,4150
1384658400,4130,4250,4100,4238.97
1384658700,4238.97,4264.98,4200,4230.62
1384659000,4237.88,4288,4230.01,4280
1384659300,4274.56,4287,4100,4200
1384659600,4200,4220,4150.02,4159.97
1384659900,4159.94,4160,4001,4049.99
1384660200,4039.91,4068,3899,3915
1384660500,3915,3950,3810.01,3950
1384660800,3948.11,4000,3900,3988
1384661100,3988,4148,3985.06,4111
1384661400,4129.97,4150,3950.88,4084.51
1384661700,4089.29,4110,4012.05,4031
1384662000,4032.5,4081.99,4010,4034.18
